Location,Phase,Cheese,Charm,,Mouse
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,27.91%,Mush Monster
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,18.29%,Lost
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,17.69%,Lost Legionnaire
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,16.94%,Mushroom Harvester
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,10.09%,Shadow Stalker
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,4.57%,Corridor Bruiser
Labyrinth,Plain Farming,SB+/Gouda/Brie,-,4.51%,Reanimated Carver
Labyrinth,Superior Fealty,Glowing Gruyere,-,26.42%,Drudge
Labyrinth,Superior Fealty,Glowing Gruyere,-,22.74%,Masked Pikeman
Labyrinth,Superior Fealty,Glowing Gruyere,-,12.23%,Solemn Soldier
Labyrinth,Superior Fealty,Glowing Gruyere,-,10.27%,Corridor Bruiser
Labyrinth,Superior Fealty,Glowing Gruyere,-,9.16%,Lost Legionnaire
Labyrinth,Superior Fealty,Glowing Gruyere,-,8.53%,Lost
Labyrinth,Superior Fealty,Glowing Gruyere,-,7.77%,Mind Tearer
Labyrinth,Superior Fealty,Glowing Gruyere,-,2.88%,Reanimated Carver
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,22.31%,Drudge
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,18.99%,Masked Pikeman
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,16.09%,Shadow Stalker
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,9.97%,Solemn Soldier
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,8.33%,Corridor Bruiser
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,8.22%,Lost Legionnaire
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,7.24%,Lost
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,6.35%,Mind Tearer
Labyrinth,Superior Fealty,SB+/Gouda/Brie,-,2.49%,Reanimated Carver
Labyrinth,Superior Tech,Glowing Gruyere,-,26.65%,RR-8
Labyrinth,Superior Tech,Glowing Gruyere,-,22.59%,Ash Golem
Labyrinth,Superior Tech,Glowing Gruyere,-,12.10%,Tech Golem
Labyrinth,Superior Tech,Glowing Gruyere,-,9.74%,Lost Legionnaire
Labyrinth,Superior Tech,Glowing Gruyere,-,9.69%,Corridor Bruiser
Labyrinth,Superior Tech,Glowing Gruyere,-,8.70%,Lost
Labyrinth,Superior Tech,Glowing Gruyere,-,7.55%,Automated Stone Sentry
Labyrinth,Superior Tech,Glowing Gruyere,-,2.98%,Reanimated Carver
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,22.71%,RR-8
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,19.58%,Ash Golem
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,15.79%,Shadow Stalker
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,9.32%,Tech Golem
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,8.36%,Corridor Bruiser
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,7.86%,Lost Legionnaire
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,6.97%,Lost
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,6.95%,Automated Stone Sentry
Labyrinth,Superior Tech,SB+/Gouda/Brie,-,2.46%,Reanimated Carver
Labyrinth,Superior Scholar,Glowing Gruyere,-,26.86%,Summoning Scholar
Labyrinth,Superior Scholar,Glowing Gruyere,-,22.41%,Sanguinarian
Labyrinth,Superior Scholar,Glowing Gruyere,-,12.41%,Mystic Guardian
Labyrinth,Superior Scholar,Glowing Gruyere,-,10.40%,Corridor Bruiser
Labyrinth,Superior Scholar,Glowing Gruyere,-,9.03%,Lost Legionnaire
Labyrinth,Superior Scholar,Glowing Gruyere,-,8.16%,Lost
Labyrinth,Superior Scholar,Glowing Gruyere,-,7.68%,Mystic Herald
Labyrinth,Superior Scholar,Glowing Gruyere,-,3.05%,Reanimated Carver
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,22.45%,Summoning Scholar
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,19.15%,Sanguinarian
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,15.94%,Shadow Stalker
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,9.42%,Mystic Guardian
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,8.60%,Corridor Bruiser
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,7.81%,Lost Legionnaire
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,7.02%,Mystic Herald
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,7.02%,Lost
Labyrinth,Superior Scholar,SB+/Gouda/Brie,-,2.57%,Reanimated Carver
Labyrinth,Superior Treasury,Glowing Gruyere,-,29.92%,Mimic
Labyrinth,Superior Treasury,Glowing Gruyere,-,19.60%,Hired Eidolon
Labyrinth,Superior Treasury,Glowing Gruyere,-,15.81%,Treasure Brawler
Labyrinth,Superior Treasury,Glowing Gruyere,-,12.13%,Lost Legionnaire
Labyrinth,Superior Treasury,Glowing Gruyere,-,11.91%,Lost
Labyrinth,Superior Treasury,Glowing Gruyere,-,7.64%,Corridor Bruiser
Labyrinth,Superior Treasury,Glowing Gruyere,-,2.98%,Reanimated Carver
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,26.97%,Mimic
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,17.13%,Hired Eidolon
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,12.40%,Treasure Brawler
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,12.20%,Shadow Stalker
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,11.61%,Lost Legionnaire
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,9.25%,Lost
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,6.89%,Corridor Bruiser
Labyrinth,Superior Treasury,SB+/Gouda/Brie,-,3.54%,Reanimated Carver
Labyrinth,Superior Farming,Glowing Gruyere,-,27.62%,Mushroom Harvester
Labyrinth,Superior Farming,Glowing Gruyere,-,25.55%,Nightshade Nanny
Labyrinth,Superior Farming,Glowing Gruyere,-,19.61%,Mush Monster
Labyrinth,Superior Farming,Glowing Gruyere,-,10.13%,Lost Legionnaire
Labyrinth,Superior Farming,Glowing Gruyere,-,8.51%,Lost
Labyrinth,Superior Farming,Glowing Gruyere,-,5.37%,Reanimated Carver
Labyrinth,Superior Farming,Glowing Gruyere,-,3.21%,Corridor Bruiser
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,26.16%,Mushroom Harvester
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,24.58%,Nightshade Nanny
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,18.88%,Mush Monster
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,9.92%,Lost Legionnaire
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,7.76%,Lost
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,4.92%,Reanimated Carver
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,4.51%,Shadow Stalker
Labyrinth,Superior Farming,SB+/Gouda/Brie,-,3.28%,Corridor Bruiser
Labyrinth,Epic Fealty,Glowing Gruyere,-,26.60%,Drudge
Labyrinth,Epic Fealty,Glowing Gruyere,-,23.88%,Masked Pikeman
Labyrinth,Epic Fealty,Glowing Gruyere,-,16.88%,Dark Templar
Labyrinth,Epic Fealty,Glowing Gruyere,-,14.64%,Mind Tearer
Labyrinth,Epic Fealty,Glowing Gruyere,-,6.96%,Solemn Soldier
Labyrinth,Epic Fealty,Glowing Gruyere,-,4.80%,Corridor Bruiser
Labyrinth,Epic Fealty,Glowing Gruyere,-,3.60%,Reanimated Carver
Labyrinth,Epic Fealty,Glowing Gruyere,-,1.48%,Lost
Labyrinth,Epic Fealty,Glowing Gruyere,-,1.16%,Lost Legionnaire
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,23.57%,Drudge
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,22.42%,Masked Pikeman
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,14.73%,Dark Templar
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,11.13%,Mind Tearer
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,10.64%,Shadow Stalker
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,6.06%,Solemn Soldier
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,4.42%,Corridor Bruiser
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,3.76%,Reanimated Carver
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,1.64%,Lost Legionnaire
Labyrinth,Epic Fealty,SB+/Gouda/Brie,-,1.64%,Lost
Labyrinth,Epic Tech,Glowing Gruyere,-,25.65%,Ash Golem
Labyrinth,Epic Tech,Glowing Gruyere,-,25.04%,RR-8
Labyrinth,Epic Tech,Glowing Gruyere,-,16.24%,Fungal Technomorph
Labyrinth,Epic Tech,Glowing Gruyere,-,14.44%,Automated Stone Sentry
Labyrinth,Epic Tech,Glowing Gruyere,-,7.77%,Tech Golem
Labyrinth,Epic Tech,Glowing Gruyere,-,4.71%,Reanimated Carver
Labyrinth,Epic Tech,Glowing Gruyere,-,4.17%,Corridor Bruiser
Labyrinth,Epic Tech,Glowing Gruyere,-,1.23%,Lost
Labyrinth,Epic Tech,Glowing Gruyere,-,0.74%,Lost Legionnaire
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,24.14%,RR-8
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,20.90%,Ash Golem
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,14.77%,Fungal Technomorph
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,12.43%,Automated Stone Sentry
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,11.35%,Shadow Stalker
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,6.13%,Tech Golem
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,3.96%,Corridor Bruiser
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,2.88%,Reanimated Carver
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,1.80%,Lost Legionnaire
Labyrinth,Epic Tech,SB+/Gouda/Brie,-,1.62%,Lost
Labyrinth,Epic Scholar,Glowing Gruyere,-,27.87%,Summoning Scholar
Labyrinth,Epic Scholar,Glowing Gruyere,-,23.77%,Sanguinarian
Labyrinth,Epic Scholar,Glowing Gruyere,-,17.79%,Mystic Scholar
Labyrinth,Epic Scholar,Glowing Gruyere,-,12.69%,Mystic Herald
Labyrinth,Epic Scholar,Glowing Gruyere,-,6.59%,Mystic Guardian
Labyrinth,Epic Scholar,Glowing Gruyere,-,4.11%,Corridor Bruiser
Labyrinth,Epic Scholar,Glowing Gruyere,-,4.11%,Reanimated Carver
Labyrinth,Epic Scholar,Glowing Gruyere,-,1.74%,Lost
Labyrinth,Epic Scholar,Glowing Gruyere,-,1.33%,Lost Legionnaire
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,27.31%,Summoning Scholar
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,19.35%,Sanguinarian
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,14.62%,Mystic Scholar
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,12.04%,Mystic Herald
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,8.60%,Shadow Stalker
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,7.10%,Mystic Guardian
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,5.59%,Corridor Bruiser
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,4.09%,Reanimated Carver
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,0.86%,Lost Legionnaire
Labyrinth,Epic Scholar,SB+/Gouda/Brie,-,43.00%,Lost
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,37.72%,Ash Golem
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,32.82%,RR-8
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,20.44%,Reanimated Carver
Zokor,Tech Foundry Outskirts,Glowing Gruyere,-,9.02%,Exo-Tech
Zokor,Tech Foundry Outskirts,SB+/Gouda/Brie,-,29.89%,Ash Golem
Zokor,Tech Foundry Outskirts,SB+/Gouda/Brie,-,27.62%,RR-8
Zokor,Tech Foundry Outskirts,SB+/Gouda/Brie,-,19.10%,Shadow Stalker
Zokor,Tech Foundry Outskirts,SB+/Gouda/Brie,-,16.61%,Reanimated Carver
Zokor,Tech Foundry Outskirts,SB+/Gouda/Brie,-,6.78%,Exo-Tech
Zokor,Research Center,Glowing Gruyere,-,33.71%,Exo-Tech
Zokor,Research Center,Glowing Gruyere,-,30.28%,Matron of Machinery
Zokor,Research Center,Glowing Gruyere,-,14.37%,Reanimated Carver
Zokor,Research Center,Glowing Gruyere,-,12.36%,Automated Stone Sentry
Zokor,Research Center,Glowing Gruyere,-,5.01%,Tech Golem
Zokor,Research Center,Glowing Gruyere,-,2.41%,Ash Golem
Zokor,Research Center,Glowing Gruyere,-,1.87%,RR-8
Zokor,Research Center,SB+/Gouda,-,25.78%,Exo-Tech
Zokor,Research Center,SB+/Gouda,-,24.48%,Matron of Machinery
Zokor,Research Center,SB+/Gouda,-,20.65%,Shadow Stalker
Zokor,Research Center,SB+/Gouda,-,11.92%,Reanimated Carver
Zokor,Research Center,SB+/Gouda,-,10.04%,Automated Stone Sentry
Zokor,Research Center,SB+/Gouda,-,3.83%,Tech Golem
Zokor,Research Center,SB+/Gouda,-,1.79%,RR-8
Zokor,Research Center,SB+/Gouda,-,1.51%,Ash Golem
Zokor,Manaforge Smith,Glowing Gruyere,-,32.17%,Exo-Tech
Zokor,Manaforge Smith,Glowing Gruyere,-,29.37%,Matron of Machinery
Zokor,Manaforge Smith,Glowing Gruyere,-,12.16%,Reanimated Carver
Zokor,Manaforge Smith,Glowing Gruyere,-,9.10%,Automated Stone Sentry
Zokor,Manaforge Smith,Glowing Gruyere,-,7.91%,Fungal Technomorph
Zokor,Manaforge Smith,Glowing Gruyere,-,5.70%,Tech Golem
Zokor,Manaforge Smith,Glowing Gruyere,-,1.76%,Manaforge Smith
Zokor,Manaforge Smith,Glowing Gruyere,-,0.93%,RR-8
Zokor,Manaforge Smith,Glowing Gruyere,-,0.90%,Ash Golem
Zokor,Manaforge Smith,SB+,-,26.66%,Exo-Tech
Zokor,Manaforge Smith,SB+,-,24.04%,Matron of Machinery
Zokor,Manaforge Smith,SB+,-,19.69%,Shadow Stalker
Zokor,Manaforge Smith,SB+,-,9.73%,Reanimated Carver
Zokor,Manaforge Smith,SB+,-,7.39%,Automated Stone Sentry
Zokor,Manaforge Smith,SB+,-,6.14%,Fungal Technomorph
Zokor,Manaforge Smith,SB+,-,4.76%,Tech Golem
Zokor,Manaforge Smith,SB+,-,0.79%,Ash Golem
Zokor,Manaforge Smith,SB+,-,0.79%,RR-8
Zokor,Manaforge Smith,Gouda,-,26.37%,Exo-Tech
Zokor,Manaforge Smith,Gouda,-,23.66%,Matron of Machinery
Zokor,Manaforge Smith,Gouda,-,20.42%,Shadow Stalker
Zokor,Manaforge Smith,Gouda,-,9.53%,Reanimated Carver
Zokor,Manaforge Smith,Gouda,-,7.14%,Automated Stone Sentry
Zokor,Manaforge Smith,Gouda,-,6.36%,Fungal Technomorph
Zokor,Manaforge Smith,Gouda,-,4.83%,Tech Golem
Zokor,Manaforge Smith,Gouda,-,0.87%,RR-8
Zokor,Manaforge Smith,Gouda,-,0.83%,Ash Golem
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,34.91%,Summoning Scholar
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,34.82%,Sanguinarian
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,20.79%,Reanimated Carver
Zokor,Neophyte Scholar Study,Glowing Gruyere,-,9.48%,Ethereal Guardian
Zokor,Neophyte Scholar Study,SB+/Gouda,-,28.44%,Summoning Scholar
Zokor,Neophyte Scholar Study,SB+/Gouda,-,28.28%,Sanguinarian
Zokor,Neophyte Scholar Study,SB+/Gouda,-,20.02%,Shadow Stalker
Zokor,Neophyte Scholar Study,SB+/Gouda,-,16.17%,Reanimated Carver
Zokor,Neophyte Scholar Study,SB+/Gouda,-,7.09%,Ethereal Guardian
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,35.28%,Ethereal Guardian
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,32.03%,Ancient Scribe
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,15.42%,Reanimated Carver
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,9.07%,Mystic Herald
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,6.05%,Mystic Guardian
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,1.17%,Summoning Scholar
Zokor,Master Scholar Auditorium,Glowing Gruyere,-,0.97%,Sanguinarian
Zokor,Master Scholar Auditorium,SB+/Gouda,-,27.12%,Ethereal Guardian
Zokor,Master Scholar Auditorium,SB+/Gouda,-,25.14%,Ancient Scribe
Zokor,Master Scholar Auditorium,SB+/Gouda,-,21.27%,Shadow Stalker
Zokor,Master Scholar Auditorium,SB+/Gouda,-,12.66%,Reanimated Carver
Zokor,Master Scholar Auditorium,SB+/Gouda,-,7.12%,Mystic Herald
Zokor,Master Scholar Auditorium,SB+/Gouda,-,4.99%,Mystic Guardian
Zokor,Master Scholar Auditorium,SB+/Gouda,-,0.88%,Sanguinarian
Zokor,Master Scholar Auditorium,SB+/Gouda,-,0.82%,Summoning Scholar
Zokor,Dark Libary,Glowing Gruyere,-,33.01%,Ethereal Guardian
Zokor,Dark Libary,Glowing Gruyere,-,29.47%,Ancient Scribe
Zokor,Dark Libary,Glowing Gruyere,-,11.50%,Reanimated Carver
Zokor,Dark Libary,Glowing Gruyere,-,8.82%,Mystic Herald
Zokor,Dark Libary,Glowing Gruyere,-,7.81%,Mystic Scholar
Zokor,Dark Libary,Glowing Gruyere,-,5.73%,Mystic Guardian
Zokor,Dark Libary,Glowing Gruyere,-,1.64%,Soul Binder
Zokor,Dark Libary,Glowing Gruyere,-,1.02%,Summoning Scholar
Zokor,Dark Libary,Glowing Gruyere,-,0.99%,Sanguinarian
Zokor,Dark Libary,SB+,-,25.87%,Ethereal Guardian
Zokor,Dark Libary,SB+,-,24.27%,Ancient Scribe
Zokor,Dark Libary,SB+,-,20.24%,Shadow Stalker
Zokor,Dark Libary,SB+,-,9.56%,Reanimated Carver
Zokor,Dark Libary,SB+,-,7.39%,Mystic Herald
Zokor,Dark Libary,SB+,-,6.35%,Mystic Scholar
Zokor,Dark Libary,SB+,-,4.71%,Mystic Guardian
Zokor,Dark Libary,SB+,-,0.85%,Summoning Scholar
Zokor,Dark Libary,SB+,-,0.76%,Sanguinarian
Zokor,Dark Libary,Gouda,-,26.11%,Ethereal Guardian
Zokor,Dark Libary,Gouda,-,23.96%,Ancient Scribe
Zokor,Dark Libary,Gouda,-,20.37%,Shadow Stalker
Zokor,Dark Libary,Gouda,-,9.59%,Reanimated Carver
Zokor,Dark Libary,Gouda,-,6.84%,Mystic Herald
Zokor,Dark Libary,Gouda,-,6.60%,Mystic Scholar
Zokor,Dark Libary,Gouda,-,4.88%,Mystic Guardian
Zokor,Dark Libary,Gouda,-,0.86%,Sanguinarian
Zokor,Dark Libary,Gouda,-,0.80%,Summoning Scholar
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,36.52%,Masked Pikeman
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,34.18%,Drudge
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,20.22%,Reanimated Carver
Zokor,Outer Fealty Shrine,Glowing Gruyere,-,9.08%,Battle Cleric
Zokor,Outer Fealty Shrine,SB+/Gouda,-,29.80%,Masked Pikeman
Zokor,Outer Fealty Shrine,SB+/Gouda,-,26.65%,Drudge
Zokor,Outer Fealty Shrine,SB+/Gouda,-,20.69%,Shadow Stalker
Zokor,Outer Fealty Shrine,SB+/Gouda,-,15.47%,Reanimated Carver
Zokor,Outer Fealty Shrine,SB+/Gouda,-,7.39%,Battle Cleric
Zokor,Inner Fealty Temple,Glowing Gruyere,-,34.46%,Battle Cleric
Zokor,Inner Fealty Temple,Glowing Gruyere,-,31.26%,Sir Fleekio
Zokor,Inner Fealty Temple,Glowing Gruyere,-,15.59%,Reanimated Carver
Zokor,Inner Fealty Temple,Glowing Gruyere,-,9.81%,Mind Tearer
Zokor,Inner Fealty Temple,Glowing Gruyere,-,6.97%,Solemn Soldier
Zokor,Inner Fealty Temple,Glowing Gruyere,-,1.04%,Drudge
Zokor,Inner Fealty Temple,Glowing Gruyere,-,0.86%,Masked Pikeman
Zokor,Inner Fealty Temple,SB+,-,27.97%,Battle Cleric
Zokor,Inner Fealty Temple,SB+,-,24.61%,Sir Fleekio
Zokor,Inner Fealty Temple,SB+,-,20.64%,Shadow Stalker
Zokor,Inner Fealty Temple,SB+,-,13.00%,Reanimated Carver
Zokor,Inner Fealty Temple,SB+,-,7.74%,Mind Tearer
Zokor,Inner Fealty Temple,SB+,-,4.95%,Solemn Soldier
Zokor,Inner Fealty Temple,SB+,-,0.57%,Drudge
Zokor,Inner Fealty Temple,SB+,-,0.52%,Masked Pikeman
Zokor,Inner Fealty Temple,Gouda,-,27.84%,Battle Cleric
Zokor,Inner Fealty Temple,Gouda,-,25.60%,Sir Fleekio
Zokor,Inner Fealty Temple,Gouda,-,20.43%,Shadow Stalker
Zokor,Inner Fealty Temple,Gouda,-,12.41%,Reanimated Carver
Zokor,Inner Fealty Temple,Gouda,-,7.38%,Mind Tearer
Zokor,Inner Fealty Temple,Gouda,-,4.64%,Solemn Soldier
Zokor,Inner Fealty Temple,Gouda,-,0.85%,Drudge
Zokor,Inner Fealty Temple,Gouda,-,0.84%,Masked Pikeman
Zokor,Templar's Sanctum,Glowing Gruyere,-,32.47%,Battle Cleric
Zokor,Templar's Sanctum,Glowing Gruyere,-,29.42%,Sir Fleekio
Zokor,Templar's Sanctum,Glowing Gruyere,-,11.75%,Reanimated Carver
Zokor,Templar's Sanctum,Glowing Gruyere,-,8.84%,Mind Tearer
Zokor,Templar's Sanctum,Glowing Gruyere,-,7.87%,Dark Templar
