mouse,novice,recruit,apprentice,initiate,journeyman,master,grandmaster,legendary,hero,knight,lord,baron,count,duke,grandduke,archduke
Mutated Grey,,,,,,0.00058500000,0.00026500000,0.00012400000,0.00005590000,0.00002530000,0.00001150000,0.00000520000,0.00000237000,0.00000108000,0.00000048900,0.00000002550
Spud,,,0.00465000000,0.00312000000,0.00160000000,0.00058500000,0.00026500000,0.00012400000,0.00005590000,0.00002530000,0.00001150000,0.00000520000,0.00000237000,0.00000108000,0.00000048900,0.00000002550
Black Widow,,,0.00465000000,0.00312000000,0.00160000000,0.00058500000,0.00026500000,0.00012400000,0.00005590000,0.00002530000,0.00001150000,0.00000520000,0.00000237000,0.00000108000,0.00000048900,0.00000002550
Mole,0.02750000000,0.01000000000,0.00512000000,0.00343000000,0.00176000000,0.00064400000,0.00029200000,0.00013600000,0.00006140000,0.00002780000,0.00001260000,0.00000572000,0.00000260000,0.00000118000,0.00000053800,0.00000002810
Frosty Snow,,,,,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Steel,0.03000000000,0.01090000000,0.00558000000,0.00374000000,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Granite,0.03000000000,0.01090000000,0.00558000000,0.00374000000,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Bionic,0.03000000000,0.01090000000,0.00558000000,0.00374000000,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Gold,0.03000000000,0.01090000000,0.00558000000,0.00374000000,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Pugilist,,0.01270000000,0.00651000000,0.00437000000,0.00225000000,0.00081900000,0.00037100000,0.00017300000,0.00007820000,0.00003540000,0.00001600000,0.00000728000,0.00000331000,0.00000151000,0.00000068500,0.00000003570
Fog,,,,0.00499000000,0.00257000000,0.00093600000,0.00042400000,0.00019800000,0.00008940000,0.00004040000,0.00001830000,0.00000832000,0.00000379000,0.00000172000,0.00000078300,0.00000004080
Mutated Brown,,,,,,0.00103000000,0.00046700000,0.00021700000,0.00009830000,0.00004450000,0.00002020000,0.00000915000,0.00000417000,0.00000189000,0.00000086100,0.00000004490
Speedy,,0.01730000000,0.00884000000,0.00593000000,0.00305000000,0.00111000000,0.00050400000,0.00023500000,0.00010600000,0.00004800000,0.00002180000,0.00000988000,0.00000450000,0.00000204000,0.00000092900,0.00000004850
Longtail,,0.01820000000,0.00930000000,0.00624000000,0.00321000000,0.00117000000,0.00053100000,0.00024700000,0.00011200000,0.00005050000,0.00002290000,0.00001040000,0.00000474000,0.00000215000,0.00000097800,0.00000005100
Farmhand,,,0.00930000000,0.00624000000,0.00321000000,0.00117000000,0.00053100000,0.00024700000,0.00011200000,0.00005050000,0.00002290000,0.00001040000,0.00000474000,0.00000215000,0.00000097800,0.00000005100
Relic Hunter,,0.01820000000,0.00930000000,0.00624000000,0.00321000000,0.00117000000,0.00053100000,0.00024700000,0.00011200000,0.00005050000,0.00002290000,0.00001040000,0.00000474000,0.00000215000,0.00000097800,0.00000005100
Crown Collector,,,0.00930000000,0.00624000000,0.00321000000,0.00117000000,0.00053100000,0.00024700000,0.00011200000,0.00005050000,0.00002290000,0.00001040000,0.00000474000,0.00000215000,0.00000097800,0.00000005100
Nibbler,,0.02000000000,0.01020000000,0.00686000000,0.00353000000,0.00129000000,0.00058400000,0.00027200000,0.00012300000,0.00005560000,0.00002520000,0.00001140000,0.00000521000,0.00000237000,0.00000108000,0.00000005610
Silvertail,,0.02180000000,0.01120000000,0.00749000000,0.00385000000,0.00140000000,0.00063700000,0.00029600000,0.00013400000,0.00006070000,0.00002750000,0.00001250000,0.00000568000,0.00000258000,0.00000117000,0.00000006120
Burglar,,,0.01320000000,0.00886000000,0.00456000000,0.00166000000,0.00075300000,0.00035100000,0.00015900000,0.00007180000,0.00003260000,0.00001480000,0.00000672000,0.00000306000,0.00000139000,0.00000007240
Abominable Snow,,,,,0.00562000000,0.00205000000,0.00092800000,0.00043200000,0.00019600000,0.00008840000,0.00004010000,0.00001820000,0.00000829000,0.00000377000,0.00000171000,0.00000008930
Diamond,0.09000000000,0.03270000000,0.01670000000,0.01120000000,0.00578000000,0.00211000000,0.00095500000,0.00044500000,0.00020100000,0.00009100000,0.00004130000,0.00001870000,0.00000852000,0.00000387000,0.00000176000,0.00000009180
Magic,,0.03640000000,0.01860000000,0.01250000000,0.00642000000,0.00234000000,0.00106000000,0.00049400000,0.00022300000,0.00010100000,0.00004590000,0.00002080000,0.00000947000,0.00000430000,0.00000196000,0.00000010200
Zombie,,0.04910000000,0.02510000000,0.01680000000,0.00866000000,0.00316000000,0.00143000000,0.00066700000,0.00030200000,0.00013600000,0.00006190000,0.00002810000,0.00001280000,0.00000581000,0.00000264000,0.00000013800
Captain Croissant,,,0.03720000000,0.02500000000,0.01280000000,0.00468000000,0.00212000000,0.00098800000,0.00044700000,0.00020200000,0.00009170000,0.00004160000,0.00001890000,0.00000861000,0.00000391000,0.00000020400
Master Burglar,,0.07750000000,0.03960000000,0.02660000000,0.01370000000,0.00499000000,0.00226000000,0.00105000000,0.00047600000,0.00021500000,0.00009770000,0.00004430000,0.00002020000,0.00000917000,0.00000417000,0.00000021700
Monster,,,,,,0.01070000000,0.00483000000,0.00225000000,0.00102000000,0.00046000000,0.00020900000,0.00009460000,0.00004310000,0.00001960000,0.00000890000,0.00000046400
Wound Up White,,,,,,,,,0.00001680000,0.00000758000,0.00000344000,0.00000156000,0.00000071000,0.00000032300,0.00000014700,0.00000000765
Hapless Marionette,,,,,,,,,0.00001680000,0.00000758000,0.00000344000,0.00000156000,0.00000071000,0.00000032300,0.00000014700,0.00000000765
Toy Sylvan,,,,,,,,,0.00002010000,0.00000910000,0.00000413000,0.00000187000,0.00000085200,0.00000038700,0.00000017600,0.00000000918
Impersonator,,,,,,,,,0.00002010000,0.00000910000,0.00000413000,0.00000187000,0.00000085200,0.00000038700,0.00000017600,0.00000000918
Lockpick,,,,,,,,,0.00002570000,0.00001160000,0.00000527000,0.00000239000,0.00000109000,0.00000049500,0.00000022500,0.00000001170
Clockwork Samurai,,,,,,,,,0.00002570000,0.00001160000,0.00000527000,0.00000239000,0.00000109000,0.00000049500,0.00000022500,0.00000001170
Sock Puppet Ghost,,,,,,,,,0.00002570000,0.00001160000,0.00000527000,0.00000239000,0.00000109000,0.00000049500,0.00000022500,0.00000001170
Escape Artist,,,,,,,,,0.00003350000,0.00001520000,0.00000688000,0.00000312000,0.00000142000,0.00000064600,0.00000029400,0.00000001530
Bandit,,,,,,,,,0.00003350000,0.00001520000,0.00000688000,0.00000312000,0.00000142000,0.00000064600,0.00000029400,0.00000001530
Puppet Master,,,,,,,,,0.00003350000,0.00001520000,0.00000688000,0.00000312000,0.00000142000,0.00000064600,0.00000029400,0.00000001530
Fencer,,,,,,,,,0.00003350000,0.00001520000,0.00000688000,0.00000312000,0.00000142000,0.00000064600,0.00000029400,0.00000001530
Page,,,,,,,,,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Berserker,,,,,,,,,0.00004800000,0.00002170000,0.00000986000,0.00000447000,0.00000204000,0.00000092600,0.00000042100,0.00000002190
Phalanx,,,,,,,,,0.00004800000,0.00002170000,0.00000986000,0.00000447000,0.00000204000,0.00000092600,0.00000042100,0.00000002190
Stealth,,,,,,,,,0.00005590000,0.00002530000,0.00001150000,0.00000520000,0.00000237000,0.00000108000,0.00000048900,0.00000002550
Cowbell,,,,,,,,,0.00007820000,0.00003540000,0.00001600000,0.00000728000,0.00000331000,0.00000151000,0.00000068500,0.00000003570
Rogue,,,,,,,,,0.00007820000,0.00003540000,0.00001600000,0.00000728000,0.00000331000,0.00000151000,0.00000068500,0.00000003570
Knight,,,,,,,,,0.00010100000,0.00004550000,0.00002060000,0.00000936000,0.00000426000,0.00000194000,0.00000088100,0.00000004590
Cavalier,,,,,,,,,0.00014500000,0.00006570000,0.00002980000,0.00001350000,0.00000616000,0.00000280000,0.00000127000,0.00000006630
Drummer,,,,,,,,,0.00031300000,0.00014200000,0.00006420000,0.00002910000,0.00001330000,0.00000603000,0.00000274000,0.00000014300
Dancer,,,,,,,,,0.00032400000,0.00014700000,0.00006650000,0.00003010000,0.00001370000,0.00000624000,0.00000284000,0.00000014800
Fiddler,,,,,,,,,0.00045700000,0.00020700000,0.00009380000,0.00004250000,0.00001940000,0.00000880000,0.00000400000,0.00000020900
Terra,,,,,,,,,0.00046900000,0.00021200000,0.00009630000,0.00004370000,0.00001990000,0.00000904000,0.00000411000,0.00000021400
Black Mage,,,,,,,,,0.00049600000,0.00022400000,0.00010200000,0.00004620000,0.00002100000,0.00000956000,0.00000434000,0.00000022700
Ignis,,,,,,,,,0.00050200000,0.00022700000,0.00010300000,0.00004670000,0.00002130000,0.00000966000,0.00000439000,0.00000022900
Guqin Player,,,,,,,,,0.00055900000,0.00025300000,0.00011500000,0.00005200000,0.00002370000,0.00001080000,0.00000489000,0.00000025500
Zephyr,,,,,,,,,0.00065900000,0.00029800000,0.00013500000,0.00006130000,0.00002790000,0.00001270000,0.00000577000,0.00000030100
Aquos,,,,,,,,,0.00075400000,0.00034100000,0.00015500000,0.00007020000,0.00003200000,0.00001450000,0.00000660000,0.00000034400
Necromancer,,,,,,,,,0.00190000000,0.00085900000,0.00039000000,0.00017700000,0.00008050000,0.00003660000,0.00001660000,0.00000086700
Sacred Shrine,,,,,,,,,0.00218000000,0.00098600000,0.00044700000,0.00020300000,0.00009230000,0.00004200000,0.00001910000,0.00000099500
White Mage,,,,,,,,,0.00228000000,0.00103000000,0.00046800000,0.00021200000,0.00009660000,0.00004390000,0.00002000000,0.00000104000
Paladin,,,,,,,,,0.00282000000,0.00127000000,0.00057800000,0.00026200000,0.00011900000,0.00005420000,0.00002470000,0.00000129000
Fiend,,,,,,,,,0.00804000000,0.00364000000,0.00165000000,0.00074900000,0.00034100000,0.00015500000,0.00007040000,0.00000367000
Eclipse,,,,,,,,,0.04230000000,0.01920000000,0.00869000000,0.00394000000,0.00179000000,0.00081600000,0.00037100000,0.00001930000
Moosker,,,,,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Wiggler,,,,,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Sylvan,,,,,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Wicked Witch of Whisker Woods,,,,,,0.00052700000,0.00023900000,0.00011100000,0.00005030000,0.00002270000,0.00001030000,0.00000468000,0.00000213000,0.00000096900,0.00000044000,0.00000002300
Frog,,,,,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Chameleon,,,,,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Bear,,,,,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Shaman,,,,,0.00193000000,0.00070200000,0.00031800000,0.00014800000,0.00006700000,0.00003030000,0.00001380000,0.00000624000,0.00000284000,0.00000129000,0.00000058700,0.00000003060
Treant,,,,,0.00417000000,0.00152000000,0.00069000000,0.00032100000,0.00014500000,0.00006570000,0.00002980000,0.00001350000,0.00000616000,0.00000280000,0.00000127000,0.00000006630
Foxy,,,,,0.00529000000,0.00193000000,0.00087500000,0.00040800000,0.00018400000,0.00008340000,0.00003780000,0.00001720000,0.00000781000,0.00000355000,0.00000161000,0.00000008420
Curious Chemist,,,,,,0.00281000000,0.00127000000,0.00059300000,0.00026800000,0.00012100000,0.00005500000,0.00002500000,0.00001140000,0.00000517000,0.00000235000,0.00000012200
Elven Princess,,,,,0.00866000000,0.00316000000,0.00143000000,0.00066700000,0.00030200000,0.00013600000,0.00006190000,0.00002810000,0.00001280000,0.00000581000,0.00000264000,0.00000013800
Cyclops,,,,,0.00898000000,0.00328000000,0.00149000000,0.00069200000,0.00031300000,0.00014200000,0.00006420000,0.00002910000,0.00001330000,0.00000603000,0.00000274000,0.00000014300
Nomad,,,,,,0.00398000000,0.00180000000,0.00084000000,0.00038000000,0.00017200000,0.00007790000,0.00003530000,0.00001610000,0.00000732000,0.00000333000,0.00000017300
Goblin,,,,,,,0.00186000000,0.00086500000,0.00039100000,0.00017700000,0.00008020000,0.00003640000,0.00001660000,0.00000753000,0.00000342000,0.00000017900
Centaur,,,,,,0.00445000000,0.00202000000,0.00093900000,0.00042500000,0.00019200000,0.00008710000,0.00003950000,0.00001800000,0.00000818000,0.00000372000,0.00000019400
Eagle Owl,,,,,0.01700000000,0.00620000000,0.00281000000,0.00131000000,0.00059200000,0.00026800000,0.00012200000,0.00005510000,0.00002510000,0.00001140000,0.00000519000,0.00000027000
Tiger,,,,,,0.00644000000,0.00292000000,0.00136000000,0.00061400000,0.00027800000,0.00012600000,0.00005720000,0.00002600000,0.00001180000,0.00000538000,0.00000028100
Fairy,,,,,,0.00676000000,0.00307000000,0.00143000000,0.00064600000,0.00029200000,0.00013300000,0.00006010000,0.00002740000,0.00001240000,0.00000565000,0.00000029500
Troll,,,,,,,0.00435000000,0.00202000000,0.00091500000,0.00041400000,0.00018800000,0.00008510000,0.00003880000,0.00001760000,0.00000801000,0.00000041800
Cherry,,,,,0.02890000000,0.01050000000,0.00478000000,0.00222000000,0.00101000000,0.00045500000,0.00020600000,0.00009360000,0.00004260000,0.00001940000,0.00000881000,0.00000045900
Goldleaf,,,,,,0.01050000000,0.00478000000,0.00222000000,0.00101000000,0.00045500000,0.00020600000,0.00009360000,0.00004260000,0.00001940000,0.00000881000,0.00000045900
Harpy,,,,,,,0.00589000000,0.00274000000,0.00124000000,0.00056100000,0.00025400000,0.00011500000,0.00005260000,0.00002390000,0.00001090000,0.00000056600
Silth,,,,,,,0.01350000000,0.00629000000,0.00284000000,0.00129000000,0.00058300000,0.00026500000,0.00012100000,0.00005480000,0.00002490000,0.00000130000
Vampire,,,,,,0.00316000000,0.00143000000,0.00066700000,0.00030200000,0.00013600000,0.00006190000,0.00002810000,0.00001280000,0.00000581000,0.00000264000,0.00000013800
Bat,,,,,,0.00396000000,0.00179000000,0.00083500000,0.00037800000,0.00017100000,0.00007750000,0.00003510000,0.00001600000,0.00000728000,0.00000331000,0.00000017200
Gluttonous Zombie,,,,,,0.00410000000,0.00186000000,0.00086500000,0.00039100000,0.00017700000,0.00008020000,0.00003640000,0.00001660000,0.00000753000,0.00000342000,0.00000017900
Ghost,,,,,,0.00420000000,0.00190000000,0.00088700000,0.00040100000,0.00018100000,0.00008230000,0.00003730000,0.00001700000,0.00000773000,0.00000351000,0.00000018300
Mummy,,,,,,0.00554000000,0.00251000000,0.00117000000,0.00052800000,0.00023900000,0.00010800000,0.00004920000,0.00002240000,0.00001020000,0.00000463000,0.00000024100
Ravenous Zombie,,,,,,0.00632000000,0.00287000000,0.00133000000,0.00060300000,0.00027300000,0.00012400000,0.00005610000,0.00002560000,0.00001160000,0.00000528000,0.00000027500
Giant Snail,,,,,,0.00673000000,0.00305000000,0.00142000000,0.00064200000,0.00029100000,0.00013200000,0.00005980000,0.00002720000,0.00001240000,0.00000563000,0.00000029300
Lycan,,,,,,0.01080000000,0.00491000000,0.00229000000,0.00103000000,0.00046800000,0.00021200000,0.00009620000,0.00004380000,0.00001990000,0.00000905000,0.00000047200
Core Sample,,,,,,0.00304000000,0.00138000000,0.00064200000,0.00029000000,0.00013100000,0.00005960000,0.00002700000,0.00001230000,0.00000560000,0.00000254000,0.00000013300
Rock Muncher,,,,,,0.00322000000,0.00146000000,0.00067900000,0.00030700000,0.00013900000,0.00006300000,0.00002860000,0.00001300000,0.00000592000,0.00000269000,0.00000014000
Industrious Digger,,,,,,0.00411000000,0.00186000000,0.00086700000,0.00039200000,0.00017700000,0.00008050000,0.00003650000,0.00001660000,0.00000755000,0.00000343000,0.00000017900
Stone Cutter,,,,,,0.00510000000,0.00231000000,0.00108000000,0.00048700000,0.00022000000,0.00010000000,0.00004530000,0.00002060000,0.00000938000,0.00000427000,0.00000022200
Demolitions,,,,,,0.00550000000,0.00249000000,0.00116000000,0.00052500000,0.00023800000,0.00010800000,0.00004890000,0.00002230000,0.00001010000,0.00000460000,0.00000024000
Miner,,,,,,0.00626000000,0.00284000000,0.00132000000,0.00059800000,0.00027000000,0.00012300000,0.00005560000,0.00002530000,0.00001150000,0.00000523000,0.00000027300
Nugget,,,,,,0.00805000000,0.00365000000,0.00170000000,0.00076900000,0.00034800000,0.00015800000,0.00007150000,0.00003260000,0.00001480000,0.00000673000,0.00000035100
Lambent Crystal,,,,,,0.01050000000,0.00478000000,0.00222000000,0.00101000000,0.00045500000,0.00020600000,0.00009360000,0.00004260000,0.00001940000,0.00000881000,0.00000045900
Itty-Bitty Burroughs,,,,,,0.01170000000,0.00531000000,0.00247000000,0.00112000000,0.00050500000,0.00022900000,0.00010400000,0.00004740000,0.00002150000,0.00000978000,0.00000051000
Subterranean,,,,,,0.01290000000,0.00584000000,0.00272000000,0.00123000000,0.00055600000,0.00025200000,0.00011400000,0.00005210000,0.00002370000,0.00001080000,0.00000056100
Big Bad Burroughs,,,,,,0.02660000000,0.01200000000,0.00561000000,0.00254000000,0.00115000000,0.00052000000,0.00023600000,0.00010700000,0.00004890000,0.00002220000,0.00000116000
Hapless,,,,,,,0.00007960000,0.00003710000,0.00001680000,0.00000758000,0.00000344000,0.00000156000,0.00000071000,0.00000032300,0.00000014700,0.00000000765
Worker,,,,,,,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Ninja,,,,,0.00882000000,0.00322000000,0.00146000000,0.00067900000,0.00030700000,0.00013900000,0.00006300000,0.00002860000,0.00001300000,0.00000592000,0.00000269000,0.00000014000
Dumpling Chef,,,,,,,0.00153000000,0.00071400000,0.00032300000,0.00014600000,0.00006630000,0.00003000000,0.00001370000,0.00000622000,0.00000283000,0.00000014700
Archer,,,,,,,0.00239000000,0.00111000000,0.00050300000,0.00022700000,0.00010300000,0.00004680000,0.00002130000,0.00000969000,0.00000440000,0.00000023000
Kung Fu,,,,,,,0.00252000000,0.00117000000,0.00053100000,0.00024000000,0.00010900000,0.00004940000,0.00002250000,0.00001020000,0.00000465000,0.00000024200
Samurai,,,,,,,0.00265000000,0.00124000000,0.00055900000,0.00025300000,0.00011500000,0.00005200000,0.00002370000,0.00001080000,0.00000489000,0.00000025500
Assassin,,,,,,,0.00265000000,0.00124000000,0.00055900000,0.00025300000,0.00011500000,0.00005200000,0.00002370000,0.00001080000,0.00000489000,0.00000025500
Monk,,,,,,,0.00279000000,0.00130000000,0.00058700000,0.00026500000,0.00012000000,0.00005460000,0.00002490000,0.00001130000,0.00000514000,0.00000026800
Student of the Cheese Belt,,,,,,,0.00332000000,0.00154000000,0.00069800000,0.00031600000,0.00014300000,0.00006500000,0.00002960000,0.00001350000,0.00000611000,0.00000031900
Student of the Cheese Claw,,,,,,,0.00332000000,0.00154000000,0.00069800000,0.00031600000,0.00014300000,0.00006500000,0.00002960000,0.00001350000,0.00000611000,0.00000031900
Student of the Cheese Fang,,,,,,,0.00332000000,0.00154000000,0.00069800000,0.00031600000,0.00014300000,0.00006500000,0.00002960000,0.00001350000,0.00000611000,0.00000031900
Master of the Cheese Belt,,,,,,,0.00382000000,0.00178000000,0.00080400000,0.00036400000,0.00016500000,0.00007490000,0.00003410000,0.00001550000,0.00000704000,0.00000036700
Master of the Cheese Claw,,,,,,,0.00382000000,0.00178000000,0.00080400000,0.00036400000,0.00016500000,0.00007490000,0.00003410000,0.00001550000,0.00000704000,0.00000036700
Master of the Cheese Fang,,,,,,,0.00382000000,0.00178000000,0.00080400000,0.00036400000,0.00016500000,0.00007490000,0.00003410000,0.00001550000,0.00000704000,0.00000036700
Master of the Dojo,,,,,,,0.00845000000,0.00394000000,0.00178000000,0.00080500000,0.00036500000,0.00016600000,0.00007540000,0.00003430000,0.00001560000,0.00000081300
Dojo Sensei,,,,,,,0.01520000000,0.00708000000,0.00320000000,0.00145000000,0.00065700000,0.00029800000,0.00013600000,0.00006170000,0.00002800000,0.00000146000
Gorgon,,,,,,,,0.00034600000,0.00015600000,0.00007080000,0.00003210000,0.00001460000,0.00000663000,0.00000301000,0.00000137000,0.00000007140
Skeleton,,,,,,,,0.00059300000,0.00026800000,0.00012100000,0.00005500000,0.00002500000,0.00001140000,0.00000517000,0.00000235000,0.00000012200
Gate Guardian,,,,,,,,0.00069200000,0.00031300000,0.00014200000,0.00006420000,0.00002910000,0.00001330000,0.00000603000,0.00000274000,0.00000014300
Keeper's Assistant,,,,,,,,0.00078300000,0.00035400000,0.00016000000,0.00007270000,0.00003300000,0.00001500000,0.00000682000,0.00000310000,0.00000016200
Scavenger,,,,,,,,0.00083500000,0.00037800000,0.00017100000,0.00007750000,0.00003510000,0.00001600000,0.00000728000,0.00000331000,0.00000017200
Keeper,,,,,,,,0.00097600000,0.00044100000,0.00020000000,0.00009060000,0.00004110000,0.00001870000,0.00000850000,0.00000386000,0.00000020200
Realm Ripper,,,,,,,,0.00111000000,0.00050300000,0.00022700000,0.00010300000,0.00004680000,0.00002130000,0.00000969000,0.00000440000,0.00000023000
Spider,,,,,,,,0.00128000000,0.00058100000,0.00026300000,0.00011900000,0.00005410000,0.00002460000,0.00001120000,0.00000509000,0.00000026500
Ooze,,,,,,,,0.00136000000,0.00061400000,0.00027800000,0.00012600000,0.00005720000,0.00002600000,0.00001180000,0.00000538000,0.00000028100
Gargoyle,,,,,,,,0.00138000000,0.00062600000,0.00028300000,0.00012800000,0.00005820000,0.00002650000,0.00001210000,0.00000548000,0.00000028600
Spectre,,,,,,,,0.00138000000,0.00062600000,0.00028300000,0.00012800000,0.00005820000,0.00002650000,0.00001210000,0.00000548000,0.00000028600
Sorcerer,,,,,,,,0.00153000000,0.00069300000,0.00031300000,0.00014200000,0.00006450000,0.00002940000,0.00001330000,0.00000607000,0.00000031600
Golem,,,,,,,,0.00196000000,0.00088500000,0.00040000000,0.00018200000,0.00008230000,0.00003750000,0.00001700000,0.00000775000,0.00000040400
Terror Knight,,,,,,,,0.00208000000,0.00093900000,0.00042500000,0.00019300000,0.00008730000,0.00003980000,0.00001810000,0.00000822000,0.00000042900
Reaper,,,,,,,,0.00215000000,0.00097200000,0.00044000000,0.00019900000,0.00009040000,0.00004120000,0.00001870000,0.00000851000,0.00000044400
Wight,,,,,,,,0.00216000000,0.00097800000,0.00044200000,0.00020100000,0.00009100000,0.00004140000,0.00001880000,0.00000856000,0.00000044600
Lich,,,,,,,,0.00301000000,0.00136000000,0.00061700000,0.00028000000,0.00012700000,0.00005780000,0.00002630000,0.00001190000,0.00000062200
Chrono,,,,,,,,0.00741000000,0.00335000000,0.00152000000,0.00068800000,0.00031200000,0.00014200000,0.00006460000,0.00002940000,0.00000153000
Acolyte,,,,,,,,0.00787000000,0.00356000000,0.00161000000,0.00073000000,0.00033100000,0.00015100000,0.00006860000,0.00003120000,0.00000162000
Swabbie,,,,,,,,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Pinchy,,,,,,,,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Pirate,,,,0.00218000000,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
